Date,Portfolio_Value,VaR_95,VaR_99,Expected_Shortfall,Volatility,Beta,Sharpe_Ratio,Max_Drawdown,Liquidity_Score,Credit_Risk_Score
2024-01-01,1000000,45000,68000,75000,0.15,1.05,1.2,-0.08,8.5,7.2
2024-01-02,1015000,46000,69000,76000,0.16,1.04,1.18,-0.08,8.4,7.1
2024-01-03,1008000,45500,68500,75500,0.155,1.06,1.19,-0.09,8.3,7.3
2024-01-04,1025000,47000,70000,77000,0.17,1.03,1.15,-0.09,8.6,7.0
2024-01-05,1018000,46500,69500,76500,0.165,1.05,1.17,-0.10,8.5,7.2
2024-01-08,1032000,48000,71000,78000,0.18,1.02,1.14,-0.10,8.7,6.9
2024-01-09,1028000,47500,70500,77500,0.175,1.04,1.16,-0.11,8.6,7.0
2024-01-10,1035000,48500,72000,79000,0.19,1.01,1.13,-0.11,8.8,6.8
2024-01-11,1042000,49000,72500,79500,0.185,1.02,1.15,-0.10,8.9,6.7
2024-01-12,1038000,48800,72200,79200,0.188,1.03,1.14,-0.11,8.8,6.9
2024-01-15,1045000,49500,73000,80000,0.20,1.00,1.12,-0.12,9.0,6.6
2024-01-16,1052000,50000,74000,81000,0.195,1.01,1.13,-0.11,9.1,6.5
2024-01-17,1048000,49800,73500,80500,0.198,1.02,1.12,-0.12,9.0,6.7
2024-01-18,1055000,50500,74500,81500,0.205,0.99,1.11,-0.12,9.2,6.4
2024-01-19,1062000,51000,75000,82000,0.21,0.98,1.10,-0.13,9.3,6.3
2024-01-22,1058000,50800,74800,81800,0.208,1.00,1.11,-0.13,9.2,6.5
2024-01-23,1065000,51500,75500,82500,0.215,0.97,1.09,-0.14,9.4,6.2
2024-01-24,1072000,52000,76000,83000,0.22,0.96,1.08,-0.14,9.5,6.1
2024-01-25,1068000,51800,75800,82800,0.218,0.98,1.09,-0.15,9.4,6.3
2024-01-26,1075000,52500,76500,83500,0.225,0.95,1.07,-0.15,9.6,6.0
2024-01-29,1082000,53000,77000,84000,0.23,0.94,1.06,-0.16,9.7,5.9
2024-01-30,1078000,52800,76800,83800,0.228,0.96,1.07,-0.16,9.6,6.1
2024-01-31,1085000,53500,77500,84500,0.235,0.93,1.05,-0.17,9.8,5.8
2024-02-01,1092000,54000,78000,85000,0.24,0.92,1.04,-0.17,9.9,5.7
2024-02-02,1088000,53800,77800,84800,0.238,0.94,1.05,-0.18,9.8,5.9
2024-02-05,1095000,54500,78500,85500,0.245,0.91,1.03,-0.18,10.0,5.6
2024-02-06,1102000,55000,79000,86000,0.25,0.90,1.02,-0.19,10.0,5.5
2024-02-07,1098000,54800,78800,85800,0.248,0.92,1.03,-0.19,9.9,5.7
2024-02-08,1105000,55500,79500,86500,0.255,0.89,1.01,-0.20,10.0,5.4
2024-02-09,1112000,56000,80000,87000,0.26,0.88,1.00,-0.20,10.0,5.3
